name,website,investor_count,funding_count,funding_last_type,funding_last_date,valuation_date,revenue_year,funding_total_numeric_millions,funding_last_numeric_millions,valuation_numeric_millions,revenue_total_numeric_millions
Outdoorsy,https://outdoorsy.com,16,9,Series D,2021-06-24,,,203.0,90.0,,
Hubble Network,https://hubblenetwork.com,17,2,Series A,2023-03-01,,,20.0,20.0,,
BACKER,https://humanbacker.com,2,5,Series A,2020-05-11,,,26.0,13.0,,
Noteworthy AI,https://noteworthy.ai,15,7,Incubator/Accelerator,2023-11-19,,,8.81,13.0,,
Aiden,https://aiden.ai,7,3,Acquired,2019-11-21,,,2.35,13.0,,
Terremoto Biosciences,https://terremotobio.com,5,2,Series B,2023-11-02,,,250.0,175.0,,
Edocate,https://edocate.com,3,1,Seed VC,2021-04-29,,,3.0,3.0,,
WHILL,https://whill.us,37,15,Shareholder Liquidity,2024-07-24,,,77.25,13.0,,
Wanderu,https://wanderu.com,14,4,Loan,2020-04-30,,,8.73,0.68,,
Spacejoy,https://spacejoy.com,6,2,Seed VC - II,2022-02-10,,,5.0,4.0,,
Spark Neuro,https://sparkneuro.com,6,3,Loan,2020-04-15,,,14.18,0.68,,
Homemove,https://homemove.com,2,2,Seed,2024-05-01,,,1.93,1.5,,
Algorithmiq,https://algorithmiq.fi,11,4,Series A,2023-06-02,,,19.0,15.0,,
UniUni,https://uniuni.com,14,8,Series C - II,2024-07-22,,,115.0,15.0,,
Kytopen,https://kytopen.com,13,13,Grant - VI,2024-08-13,,,45.78,1.6,,
222,https://222.place,12,4,Seed VC,2023-05-03,,,1.95,13.0,,
Barakah,https://barakah.app,9,6,Seed VC - III,2024-03-18,,,1.94,13.0,,
SIMBA Chain,https://simbachain.com,12,9,Unattributed,2023-01-31,,,58.68,15.0,,
BioLoomics,https://bioloomics.com,9,4,Seed VC,2023-03-13,,,10.19,9.35,,
MarginEdge,https://marginedge.com,21,8,Series C,2022-12-07,,,79.89,45.0,,
Slerp,https://slerp.com,5,2,Series A,2021-05-21,,,10.0,7.2,,
Ledn,https://ledn.io,21,4,Series B,2021-12-15,,,103.31,70.0,,
Loop Health,https://pictrition.com,2,5,Acquired,2015-10-23,,,26.0,13.0,,
MagrowTec,https://magrowtec.com,4,4,Series A,2020-08-06,,,10.52,7.12,,
Vectara,https://vectara.com,14,6,Series A,2024-07-16,,,73.5,25.0,,
LiveLike,https://livelike.com,18,7,Unattributed - II,2023-01-04,,,20.44,2.75,,
Mimosa,https://mimosadiagnostics.com,11,5,Series A,2024-06-10,,,0.07,13.0,,
Aiven,https://aiven.io,18,6,Series D,2022-05-11,2021-10,,419.93,210.0,2000.0,
Mach9,https://,1,1,Unattributed VC,2020-12-04,,,4.51,4.51,,
Exoticca,https://exoticca.com,22,10,Series D,2024-07-23,,2023,144.66,65.13,,220.0
Azura Ophthalmics,https://azuraophthalmics.com,5,3,Grant,2022-08-17,,,36.0,13.0,,
Valid8 Financial,https://valid8financial.com,8,7,Series A - II,2023-11-13,,,16.3,8.5,,
Alianza,https://alianza.com,7,12,Series D - II,2023-10-31,,,138.46,13.0,,
Dusty Robotics,https://dustyrobotics.com,6,4,Series B,2022-05-10,2018-08,,68.7,45.0,6.0,
Mighty,https://themighty.com,8,6,Series B,2019-07-26,,,22.65,12.0,,
Epic CleanTec,https://epiccleantec.com,8,5,Grant,2023-09-04,,,12.19,13.0,,
Tvori,https://tvori.co,13,3,Seed VC - II,2023-06-20,,,8.6,8.6,,
Frubana,https://frubana.com,8,9,Series D,2024-05-24,,,289.54,30.07,,
AVIA,https://aviahealth.com,20,9,Loan,2020-04-08,,,57.4,1.5,,
Rattle,https://gorattle.com,11,2,Series A,2022-04-05,,,28.8,26.0,,
Quilt,https://getquilt.com,8,5,Acquired,2018-08-08,,,8.95,13.0,,
LinKinVax,https://linkinvax.com,3,4,Seed VC,2023-01-09,,,48.37,7.84,,
Databento,https://databento.com,10,6,Series B,2022-12-19,,,58.55,31.8,,
Arrcus,https://arrcus.com,14,9,Series E,2024-07-18,2023-02,,204.94,30.0,400.0,
Dots,https://dots.com,3,3,Acquired,2020-08-30,,,51.0,13.0,,
Cycode,https://cycode.com,6,3,Series B,2021-11-30,,,80.6,56.0,,
Dexai Robotics,https://dexai.com,13,9,Seed VC - III,2022-08-08,,,13.06,6.66,,
Ecologi,https://ecologi.com,6,4,Seed VC - II,2023-08-01,2021-11,,9.34,13.0,104.0,
Skyline Robotics,https://skylinerobotics.com,17,8,Seed,2024-05-02,,,22.79,13.0,,
Cookin,https://trycookin.com,1,5,Seed,2016-11-01,,,26.0,13.0,,
Amini,https://amini.ai,10,4,Incubator/Accelerator - II,2024-09-23,,,6.0,13.0,,
Type One Energy,https://typeoneenergy.com,15,4,Seed VC - II,2024-07-30,,,83.13,53.5,,
Valar Labs,https://valarlabs.com,7,2,Series A,2024-05-30,,,26.0,22.0,,
AnswersNow,https://getanswersnow.com,9,8,Grant,2023-06-27,,,13.56,13.0,,
Viva Wallet,https://vivawallet.com,8,7,Shareholder Liquidity,2022-12-17,2022-12,,287.53,13.0,2055.34,
Tia,https://asktia.com,15,5,Unattributed VC,2023-03-07,,,126.87,13.0,,
Braavo Capital,https://getbraavo.com,9,6,Series B,2024-05-28,,,111.25,5.0,,
Apperio,https://apperio.com,10,7,Series B,2023-01-09,,,19.9,7.0,,
Somatus,https://somatus.com,14,7,Series E,2022-02-23,,,465.0,325.0,,
Pair Eyewear,https://paireyewear.com,23,7,Series C,2023-10-10,2020-03,,150.4,75.0,4.0,
Namogoo,https://namogoo.com,8,4,Series C,2019-10-31,,,68.0,40.0,,
Datavant,https://datavant.com,8,2,Series B,2020-10-08,2018-04,,80.5,40.0,243.0,
BioAge Labs,https://bioagelabs.com,24,6,IPO,2024-09-26,,,297.0,198.0,,
Mimica,https://mimica.ai,4,5,Series A,2021-11-15,2018-03,,6.1,6.0,1.11,
Mews,https://mews.com,14,7,Debt,2024-09-26,2024-03,,436.6,100.0,1200.0,
Modular,https://gomodular.co,1,5,Acq - Talent,2017-10-05,,,26.0,13.0,,
Flip,https://justflip.com,2,2,Unattributed,2017-06-21,,,0.3,0.3,,
Cann,https://drinkcann.com,20,7,Series A - II,2022-02-15,,,41.9,27.0,,
Anagram,https://anagram.io,1,5,Acquired,2017-03-23,,,26.0,13.0,,
Reap,https://reap.global,10,3,Debt,2022-10-27,,,45.0,40.0,,
Callia,https://callia.com,6,3,Series A,2021-09-01,,,6.24,13.0,,
Overstory,https://overstory-nyc.com,1,5,Other Investors,,,,26.0,13.0,,
Burro,https://getburro.com,1,5,Incubator/Accelerator,,,,26.0,13.0,,
Raseedi,https://raseediapp.com,4,4,Acquired,2024-10-08,2019-04,,1.5,13.0,5.0,
Accent Therapeutics,https://accenttx.com,15,3,Series C,2024-01-23,,,178.0,75.0,,
TypingDNA,https://typingdna.com,10,4,Series A,2020-01-03,,,8.62,7.0,,
Mappo,https://mappo.world,1,1,Incubator/Accelerator,2019-02-25,,,0.07,0.07,,
Quiver Quantitative,https://quiverquant.com,8,1,Seed VC,2022-03-03,,,2.0,2.0,,
NeuraLight,https://neuralight.ai,16,2,Series A,2022-05-24,,,30.5,25.0,,
Getaway,https://getaway.house,8,7,Series C,2021-02-08,,,80.95,41.7,,
GlossGenius,https://glossgenius.com,11,7,Series C,2023-07-27,,,72.2,28.0,,
Seon,https://seon.group,1,5,Seed VC,2019-10-18,,,26.0,13.0,,
WSC Sports Technologies,https://wsc-sports.com,19,5,Series D,2022-02-15,,,135.0,100.0,,
Handshake,https://joinhandshake.com,16,7,Series F,2022-01-19,2021-05,,430.5,200.0,1500.0,
OneRail,https://onerail.com,14,6,Series B,2022-11-30,,,54.5,33.0,,
Airbase,https://airbase.com,23,7,Acquired,2024-09-04,2021-06,,240.5,13.0,600.0,
Toopi Organics,https://toopi-organics.com,16,9,Grant - II,2023-11-14,,,25.36,2.57,,
ShipIn,https://shipin.ai,7,6,Series A - II,2022-10-19,,,25.93,24.0,,
Flat,https://flat.app,4,1,Seed VC,2021-11-09,,,1.0,1.0,,
Unispectral,https://unispectral.com,5,2,Series A,2016-04-06,,,7.5,7.5,,
Petcube,https://petcube.com,12,11,Angel,2023-12-28,,,13.97,13.0,,
JupiterOne,https://jupiterone.com,14,7,Series C,2022-06-02,,,119.0,70.0,,
Jupiter,https://jupiter.co,6,6,Unattributed VC,2023-11-01,,,6.54,0.5,,
Opopop,https://opopop.com,6,5,Series A - III,2024-09-11,,,10.46,1.98,,
Healium,https://healium.com,1,5,Incubator/Accelerator,2014-08-27,,,26.0,13.0,,
Findable,https://findable.in,1,5,Other Investors,,,,26.0,13.0,,
HappyOrNot,https://happy-or-not.com,3,2,Series A,2019-09-19,,,39.5,25.0,,
Argus,https://,1,5,Acq - Fin,1988-01-01,,,26.0,13.0,,
Monese,https://monese.com,18,14,Acquired,2024-10-10,,,201.22,13.0,,
Veralox Therapeutics,https://veralox.com,15,4,Series A - II,2023-06-20,,,46.32,24.0,,
Cachet,https://cachet.me,7,5,Seed VC - II,2022-05-13,,,7.42,5.7,,
HistoWiz,https://histowiz.com,7,6,Series A,2021-10-19,,,33.71,32.0,,
Crimson Education,https://crimsoneducation.org,8,5,Series E,2022-10-14,2021-08,,91.53,19.0,458.64,
Syntiant,https://syntiant.com,23,8,Series C - III,2023-06-15,,,122.93,13.0,,
BeeHero,https://beehero.io,20,6,Series B,2022-12-01,,,65.0,42.0,,
Onsitego,https://onsitego.com,4,4,Series B - II,2020-09-22,,,32.0,11.0,,
Mambu,https://mambu.com,13,8,Debt,2022-08-04,2021-12,,445.51,13.0,5500.0,
Jacobi,https://jacobistrategies.com,8,6,Series A,2022-09-20,,,21.71,10.0,,
Cure Hydration,https://curehydration.com,14,9,Option/Warrant - V,2024-09-24,,,11.21,1.5,,
Amboss,https://amboss.com,6,3,Series B,2019-09-04,,,32.68,32.68,,
Ilara Health,https://ilarahealth.com,22,7,Debt,2024-02-12,,,9.89,1.7,,
Ibex,https://ibex-ai.com,13,10,Series C,2023-09-06,,,121.8,55.0,,
Fitplan,https://fitplancapecod.com,5,5,Convertible Note,2020-06-01,,,26.0,13.0,,
Alloy Enterprises,https://alloyenterprises.co,11,8,Series A,2023-05-17,,,38.21,29.2,,
Ninox,https://ninox.com,7,3,Series B,2022-04-28,,,11.53,8.41,,
DNSFilter,https://dnsfilter.com,6,6,Series B - II,2023-08-11,,,61.63,15.0,,
Rad AI,https://radai.com,19,6,Series B,2024-05-07,,,83.25,50.0,,
Pattern Brands,https://patternbrands.com,12,7,Series B - IV,2023-05-04,2022-07,,104.68,13.0,90.0,
Leaf Agriculture,https://withleaf.io,7,6,Series A,2023-10-05,,,18.62,11.3,,
Zenity,https://zenity.io,9,3,Series A - II,2024-07-30,,,21.5,13.0,,
Veego,https://veego.io,6,3,Series A,2021-08-24,,,18.0,13.0,,
Graphite,https://graphite-note.com,3,2,Seed,2024-05-26,,,1.3,1.3,,
Gridium,https://gridium.com,5,6,Series B,2023-02-23,,,28.67,14.0,,
Sabbar,https://sabbar.com,7,4,Incubator/Accelerator,2021-07-14,,,5.55,13.0,,
sweetgreen,https://sweetgreen.com,15,15,IPO,2021-11-18,2019-09,2021,472.03,364.0,1600.0,339870000.0
NorthOne,https://northone.com,14,3,Series B,2022-10-13,,,83.79,67.0,,
Airmeet,https://airmeet.com,24,4,Series B,2022-02-01,,,50.0,35.0,,
MycoTechnology,https://mycoiq.com,36,14,Incubator/Accelerator - II,2024-05-01,,,217.24,13.0,,
First Dollar,https://firstdollar.com,12,2,Series A,2022-01-27,,,19.0,14.0,,
Apollo Agriculture,https://apolloagriculture.com,21,14,Debt,2024-01-30,,,93.03,10.0,,
Swarmia,https://swarmia.com,9,3,Seed VC - II,2021-05-12,,,8.09,6.88,,
Exotel,https://exotel.com,18,6,Series D,2022-01-04,,,81.52,40.0,,
Legends of Learning,https://legendsoflearning.com,9,7,Grant,2024-04-03,,,26.89,8.0,,
Samunnati,https://samunnati.com,22,14,Debt - VIII,2024-06-12,,,161.75,16.0,,
Aalo Atomics,https://aalo.com,9,2,Series A,2024-08-14,,,33.26,27.0,,
OpenSesame,https://opensesame.com,5,8,Series D,2021-07-22,,,103.73,50.0,,
Hint Health,https://hint.com,16,7,Series B,2022-06-01,,,61.64,45.0,,
Work Truck Solutions,https://worktrucksolutions.com,6,3,Loan,2020-04-10,,,8.87,1.5,,
Productboard,https://productboard.com,14,7,Series D,2022-02-02,2021-04,2019,261.3,125.0,772.0,8.0
HomeLane,https://homelane.com,23,17,Series F,2024-09-25,,2023,208.34,30.51,,92.67
Nucleus RadioPharma,https://nucleusrad.com,9,3,Series A - II,2024-04-11,,,72.1,10.1,,
Flock,https://flock.co,1,2,Angel - II,2017-03-15,,,45.0,25.0,,
PeakMetrics,https://peakmetrics.com,5,3,Seed VC,2024-03-07,,,5.01,3.0,,
Acurable,https://acurable.com,7,3,Series A,2022-10-03,,,10.79,10.79,,
Beta Technologies,https://beta.team,8,4,Series B,2022-04-19,,,743.68,375.0,,
Microverse,https://microverse.org,14,6,Series A - II,2022-08-17,,,19.85,4.0,,
IMMI,https://immi.com,4,1,Series C,2008-01-15,,,25.0,25.0,,
Boombox,https://boombox.io,4,2,Seed VC - II,2023-05-24,2022-10,,7.0,7.0,29.55,
Specsmakers,https://specsmakers.in,3,4,Series B - II,2020-07-07,,,14.17,3.07,,
rAInbow,https://hirainbow.org,1,5,Grant,2019-12-17,,,26.0,13.0,,
Tilled,https://tilled.com,11,8,Series B,2024-07-29,,,33.17,12.52,,
Ascent360,https://ascent360.com,7,4,Series A - II,2022-01-25,2018-12,,8.57,2.0,13.0,
Mixpanel,https://mixpanel.com,10,7,Series C,2021-11-15,2014-12,,284.52,200.0,865.0,
trii,https://trii.co,5,6,Unattributed,2022-11-21,,,8.63,3.0,,
OmniChat,https://omni.chat,7,5,Series A,2021-01-21,,,4.78,3.74,,
Octopus Energy,https://octopus.energy,6,8,Unattributed - IV,2024-06-05,2024-05,,2777.0,13.0,9037.0,
Bsense Bio Therapeutics,https://bsense-bio.com,6,5,Incubator/Accelerator,2018-09-01,,,26.0,13.0,,
Tea Drops,https://myteadrop.com,7,6,Series A,2021-05-18,,,7.06,5.0,,
Tesseract,https://tesseract.mx,1,1,Seed,2017-06-19,,,0.02,0.02,,
Loop,https://joinloop.com,2,3,Incubator/Accelerator,2015-11-05,,,1.49,0.02,,
Kryptomon,https://kryptomon.co,9,4,Series A,2022-05-31,,,10.0,10.0,,
Seafair,https://seafair.io,7,2,Seed VC - II,2021-10-19,,,6.7,5.7,,
BizAway,https://bizaway.com,10,5,Series B,2024-09-16,,2019,66.08,38.94,,3.71
Lightrun,https://lightrun.com,3,4,Convertible Note,2023-01-01,,,45.0,18.0,,
Nivoda,https://nivoda.net,7,4,Series B,2024-05-06,2018-03,,52.1,30.0,1.11,
norbloc,https://norbloc.com,9,5,Biz Plan Competition,2022-11-07,,,1.64,0.04,,
Cloudian,https://cloudian.com,27,15,Growth Equity,2024-06-25,,,383.1,23.0,,
Taxfyle,https://taxfyle.com,5,4,Debt,2024-09-03,,,32.42,6.32,,
Tibber,https://tibber.com,15,13,Line of Credit,2024-03-13,,2022,375.62,171.16,,796.27
Productiv,https://productiv.com,9,3,Series C,2021-03-31,,,73.0,45.0,,
Cider,https://shopcider.com,8,4,Series B,2021-09-02,2021-06,,131.46,130.0,450.0,
Sanity Group,https://sanitygroup.com,25,10,Convertible Note,2024-06-25,,,128.9,12.31,,
Brut,https://brut.media,10,4,Series C - II,2023-04-07,2021-06,,166.79,40.0,296.2,
Augtera Networks,https://augtera.com,4,2,Series A,2021-06-29,,,17.0,13.0,,
Datasembly,https://datasembly.com,13,7,Series B,2023-05-23,,,35.51,16.0,,
Monitaur,https://monitaur.ai,15,7,Series A,2024-05-13,,,13.35,6.0,,
Black Sheep Foods,https://blacksheepfoods.com,11,5,Series A,2022-12-08,,,22.47,17.0,,
Rider,https://withrider.com,12,4,Incubator/Accelerator,2022-12-08,,,5.9,13.0,,
Solarcycle,https://solarcycle.us,11,6,Series B,2024-08-01,,,69.73,31.63,,
Kyash,https://kyash.com,1,5,Seed,,,,26.0,13.0,,
BabySparks,https://babysparks.com,6,3,Convertible Note,2020-04-03,,,6.08,4.08,,
Revv,https://revv.xyz,1,5,Seed VC,2022-04-01,,,26.0,13.0,,
Yottaa,https://yottaa.com,7,9,Growth Equity,2022-05-12,,,68.57,13.0,,
Finmo,https://finmo.in,1,5,Acquired,2017-11-08,,,26.0,13.0,,
Uplift Labs,https://uplift.ai,18,7,Unattributed VC,2024-08-07,,,6.73,13.0,,
Bedrock Analytics,https://bedrockanalytics.com,11,5,Series B,2021-10-22,,,16.95,5.0,,
NS1,https://ns1.com,17,6,Acquired,2023-03-01,,,118.35,13.0,,
Funraise,https://funraise.org,2,2,Series A,2018-01-30,,,12.7,9.7,,
Grain,https://grain.com.sg,15,6,Series B,2019-05-10,,,21.7,10.0,,
Soundmind,https://soundmindinc.com,5,4,Acquired,2022-01-07,,,0.1,13.0,,
Pixaera,https://pixaera.com,3,3,Seed VC,2022-10-27,,,5.7,4.5,,
AgVend,https://agvend.com,12,6,Series A - II,2023-06-14,,,19.65,3.0,,
Rain,https://raincards.xyz,6,3,Seed VC,2022-04-27,,,6.25,6.0,,
Cleanlab,https://cleanlab.ai,15,3,Incubator/Accelerator,2023-10-16,2023-10,,30.0,13.0,100.0,
Lambda,https://lambdaspa.com,1,5,Acq - Fin,2019-09-30,,,26.0,13.0,,
RenalSense,https://renalsense.com,2,2,Series A,2021-11-22,,,14.0,14.0,,
TradeDepot,https://tradedepot.co,10,5,Incubator/Accelerator,2023-04-11,,,122.91,13.0,,
Hooked Foods,https://hookedfoods.com,12,6,Angel,2023-07-04,,,6.94,0.7,,
Xiaohongshu,https://xiaohongshu.com,15,10,Secondary Market - II,2024-07-11,2023-01,,917.5,13.0,14000.0,
AssemblyAI,https://assemblyai.com,11,7,Incubator/Accelerator,2024-04-19,,,108.12,13.0,,
Edda,https://edda.ai,4,2,Seed VC,2024-09-02,,,0.71,0.71,,
Filtered,https://filteredhq.com,1,1,Seed,2016-10-04,,,0.03,0.03,,
Daily Harvest,https://daily-harvest.com,15,6,Series D - II,2024-04-01,2021-11,,132.51,11.53,1100.0,
YouScribe,https://youscribe.com,6,2,Unattributed,2022-02-10,,,8.28,5.7,,
Aura,https://,1,1,Crowdfunding,2016-04-07,,,0.6,0.6,,
Sundose,https://sundose.com,7,5,Series A,2021-04-06,,,6.4,6.0,,
Skin Analytics,https://skin-analytics.com,18,8,Grant - II,2023-07-14,,,5.27,13.0,,
Done Properly,https://doneproperly.co,11,11,Incubator/Accelerator - IV,2024-07-19,,,1.39,13.0,,
Neighborly,https://neighbor.ly,14,7,Dead,2019-10-07,,,30.68,13.0,,
Secfix,https://secfix.com,11,2,Seed VC,2023-03-01,,,3.84,3.84,,
AvantStay,https://avantstay.com,22,5,Unattributed,2022-02-20,,,685.68,500.0,,
Clickup,https://clickupapp.com,1,1,Incubator/Accelerator,2018-03-09,,,0.04,0.04,,
Nabta Health,https://nabtahealth.com,5,2,Angel,2022-02-23,,,1.52,1.5,,
Hark,https://harkapp.co.uk,1,5,Acquired,2016-02-25,,,26.0,13.0,,
DNA Script,https://dnascript.com,29,10,Series C - II,2022-01-04,,,335.04,35.0,,
Bitso,https://bitso.com,22,9,Series C,2021-05-05,,,314.66,250.0,,
Nexite,https://nexite.io,7,3,Series C,2022-05-11,,,67.0,67.0,,
JigSpace,https://jig.space,9,6,Series B - II,2024-07-12,,,24.63,8.82,,
VulcanForms,https://vulcanforms.com,8,5,Series C,2021-12-29,,,355.0,250.0,,
Ydata,https://ydata.ai,8,7,Incubator/Accelerator - III,2024-09-03,,,2.82,13.0,,
Verbit,https://verbit.ai,25,10,Secondary Market,2023-11-17,2021-11,2021,532.0,13.0,2000.0,100.0
BioIntelliSense,https://biointellisense.com,13,4,Series B,2021-07-28,,,84.8,45.0,,
Tapcart,https://tapcart.co,6,4,Series B,2021-06-02,,,64.0,50.0,,
InstaAstro,https://instaastro.com,6,2,Seed VC - II,2024-05-16,,,2.73,2.3,,
Cityfurnish,https://cityfurnish.com,17,9,Debt - II,2022-11-16,,,12.28,2.5,,
Be My Eyes,https://bemyeyes.com,6,8,Series B,2024-09-27,,,16.52,4.11,,
WorkHound,https://workhound.com,9,6,Series A,2022-03-16,,,14.35,12.0,,
Kriptos,https://kriptos.io,15,7,Incubator/Accelerator - III,2024-02-15,,,4.65,13.0,,
HungryRoot,https://hungryroot.com,8,6,Series C,2021-06-03,,,75.4,40.0,,
Lolli,https://lolli.com,45,6,Series B,2023-12-14,,,28.25,8.0,,
LUCA,https://luca.inc,9,4,Seed VC - IV,2023-10-31,,,2.67,1.45,,
Atoms,https://atoms.com,10,2,Series A,2019-08-30,,,8.66,8.1,,
PathFactory,https://pathfactory.com,4,3,Acq - Fin,2021-11-08,,,15.0,13.0,,
Cloud Paper,https://cloudpaper.co,14,4,Series A,2021-12-14,,,8.43,5.0,,
Zelt,https://zelt.app,7,2,Seed VC,2023-07-20,,,3.5,3.5,,
Prodly,https://prodly.co,8,3,Series A,2021-08-12,,,13.5,10.0,,
P0 Security,https://p0.dev,4,2,Series A,2024-09-10,,,20.0,15.0,,
Game Theory,https://gametheory.in,9,3,Angel,2024-07-29,,,2.12,13.0,,
Eezee,https://eezee.co,10,6,Incubator/Accelerator,2023-03-02,2022-09,,13.7,13.0,24.39,
CAMP4 Therapeutics,https://camp4tx.com,7,5,Series B,2022-07-20,,,176.79,100.0,,
Desaisiv,https://desaisiv.com,9,2,Pre-Seed,2023-01-01,,,2.0,2.0,,
Pico Mes,https://picomes.com,7,3,Series A,2023-06-23,,,21.65,12.4,,
Wheelhouse,https://usewheelhouse.com,10,2,Spinoff / Spinout,2022-04-20,,,16.0,13.0,,
Seer,https://seer.bio,10,6,IPO,2020-12-04,,2020,169.5,172.9,,656000.0
Everest Fleet,https://everestfleet.com,7,5,Series C,2024-09-20,,2024,69.2,30.0,,121.33
Orkestra,https://orkestra.energy,11,4,Seed VC - II,2023-10-19,,,1.97,1.26,,
Workato,https://workato.com,14,9,Secondary Market,2023-09-03,2021-11,2022,415.0,13.0,5700.0,86.9
Rivet Work,https://rivet.work,8,5,Seed VC - II,2023-12-01,,,15.64,6.0,,
About You,https://aboutyou.de,9,3,IPO,2021-06-16,2018-07,,300.0,13.0,1000.0,
mybacs,https://mybacs.com,5,3,Series A,2023-10-19,,,5.92,5.92,,
Zevoy,https://zevoy.com,3,1,Series A,2022-04-12,,,16.28,16.28,,
Gooroo,https://gooroo.works,2,1,Seed,2023-08-03,,,0.44,0.44,,
Kita,https://kita.earth,10,5,Incubator/Accelerator - III,2023-12-01,,,5.27,13.0,,
Biospectal,https://biospectal.com,5,3,Seed VC,2021-07-21,,,4.4,4.36,,
Foodmap,https://foodmap.asia,8,4,Bridge,2023-06-27,,,5.7,1.0,,
Manifest Climate,https://manifestclimate.com,11,3,Series A,2022-03-31,,,29.15,24.03,,
WorkWhile,https://workwhilejobs.com,12,2,Series A,2022-02-23,,,16.5,13.0,,
OpenLoop,https://openloophealth.com,11,5,Convertible Note,2023-01-09,,,26.49,0.37,,
Agricool,https://agricool.co,12,5,Asset Sale,2022-06-02,,,41.9,13.0,,
Humaans,https://humaans.io,19,2,Series A,2022-10-04,,,20.0,15.0,,
Odore,https://odore.com,5,3,Seed VC - II,2023-08-01,,,7.17,5.0,,
PrizeOut,https://prizeout.com,7,4,Corporate Minority,2023-03-09,,,30.0,13.0,,
McMakler,https://mcmakler.de,19,14,Series D,2024-10-04,2023-06,,224.03,13.0,435.62,
Paceline,https://paceline.fit,15,3,Series B,2023-12-22,,,54.88,20.31,,
Glydways,https://glydways.com,11,10,Series B - III,2024-05-14,,,111.48,20.0,,
Betterway,https://gobetterway.fr,4,2,Seed,2023-01-19,,,6.14,4.32,,
Centivo,https://centivo.com,24,7,Debt,2024-09-24,,,224.0,75.0,,
Grow Credit,https://growcredit.com,26,4,Series A,2023-09-28,,,118.3,10.0,,
Inkitt,https://inkitt.com,28,8,Series C,2024-02-27,2021-10,,115.9,37.0,390.0,
Strive Health,https://strivehealth.com,8,4,Series C,2023-05-31,,,386.0,166.0,,
Fortis Therapeutics,https://fortistx.com,8,3,Series A - II,2021-03-29,,,58.0,40.0,,
Metalenz,https://metalenz.com,14,4,Series B,2022-10-05,,,47.36,30.0,,
Disco,https://discoinc.com,1,5,Acquired,2011-10-20,,,26.0,13.0,,
PIXEVIA,https://pixevia.com,11,2,Unattributed VC,2024-05-20,,,2.8,1.63,,
PayRange,https://payrange.com,6,6,Private Equity,2024-09-30,,,19.14,13.0,,
Xtype,https://xtype.io,7,3,Series A,2024-10-01,2022-09,,31.8,21.0,17.0,
AND Global,https://and.global,5,7,Series B,2021-07-06,,,38.52,15.3,,
Sequential,https://sqbiofuels.com,1,5,Other Investors,,,,26.0,13.0,,
SarvaGram,https://sarvagram.com,3,4,Series C,2023-01-03,,,48.95,35.0,,
Hydromea,https://hydromea.com,6,7,Grant - II,2023-05-11,,,3.65,2.18,,
Prognos Health,https://prognoshealth.com,14,6,Series D,2023-05-04,,,58.79,23.29,,
Ottopia,https://ottopia.tech,13,8,Series A - III,2023-01-10,,,26.5,14.5,,
Arya,https://arya.ai,6,5,Corporate Majority,2024-04-19,,,0.77,16.5,,
Aereo,https://aereo.io,13,6,Series B - II,2024-10-07,,,16.81,1.8,,
StradVision,https://stradvision.com,22,13,Series C - III,2022-08-09,2022-03,,138.52,39.7,279.0,
Optiwatt,https://optiwatt.com,6,4,Convertible Note - II,2024-09-17,,,15.86,3.5,,
Birdie,https://ptchk.ru,1,1,Angel,2018-04-04,,,0.05,0.05,,
RapidDeploy,https://rapiddeploy.com,14,7,Incubator/Accelerator,2023-04-11,,,86.68,13.0,,
Loadsure,https://loadsure.net,4,3,Series A,2022-03-10,,,12.37,11.0,,
Commure,https://commure.com,6,12,Series E,2023-10-13,2021-09,,813.89,70.0,3500.0,
Dataiku,https://dataiku.com,20,13,Incubator/Accelerator - IV,2023-03-22,2022-12,2021,864.6,13.0,3700.0,150.0
Covatic,https://covatic.com,9,5,Series A,2023-05-18,,,6.24,5.0,,
MightyFly,https://mightyfly.com,10,6,Grant,2023-06-28,,,5.4,0.15,,
Joe Coffee,https://joe.coffee,3,4,Seed VC - II,2020-07-09,,,3.5,1.3,,
Vendict,https://vendict.com,7,1,Seed VC,2023-07-12,,,9.5,9.5,,
Cyble,https://cyble.com,15,7,Series B - II,2023-11-14,,,44.35,6.2,,
Plaid,https://plaid.co.jp,11,6,IPO,2020-12-17,,,30.63,13.0,,
Oshi Health,https://oshihealth.com,14,5,Series B - II,2023-06-13,,,53.0,13.0,,
1upHealth,https://1up.health,7,7,Series C,2023-04-12,,,80.49,45.0,,
Spintly,https://spintly.com,14,4,Seed,2024-03-28,,,5.37,2.0,,
Datacy,https://datacy.com,12,4,Seed VC - II,2022-08-02,,,10.71,8.29,,
Sapia,https://sapia.com.pe,2,5,Acquired,2021-10-27,,,26.0,13.0,,
Teal Health,https://tealhealth.co,1,5,Seed VC,,,,26.0,13.0,,
Airhouse,https://airhouse.io,4,4,Series A,2022-03-29,,,11.35,11.0,,
Akeneo,https://akeneo.com,8,7,Series D,2022-03-15,,,196.79,135.0,,
Magic Spoon,https://magicspoon.com,28,6,Series B - II,2022-12-09,,,123.72,21.0,,
Bosta,https://bosta.co,13,9,Series A - IV,2024-01-12,,,9.2,13.0,,
Kyron Learning,https://kyronlearning.com,10,4,Grant,2023-12-05,,,20.95,0.85,,
Ivy Homes,https://ivyhomes.co,7,3,Series A,2022-06-06,,,7.18,5.75,,
