name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Clear Skye,https://clearskye.com,6,4,20.1M,Series A,14M,"March 24, 2022",,,,
Censia,https://censia.com,19,12,35.83M,Series B,,"September 18, 2024",,,,
Arbor Biotechnologies,https://arbor.bio,22,3,231.28M,Series B,215M,"November 9, 2021",,,,
Quibim,https://quibim.com,16,9,9.83M,Incubator/Accelerator - III,,"April 4, 2024",,,,
Nift Networks,https://gonift.com,4,3,20.18M,Loan,0.68M,"April 15, 2020",,,,
StockGro,https://stockgro.club,19,5,61.66M,Debt,24.66M,"January 17, 2024",,,,
Meritize,https://meritize.com,11,5,23.55M,Unattributed,,"June 30, 2022",,,,
Semperis,https://semperis.com,11,5,365M,Series C - II,,"June 20, 2024",,,2020,11.6M
Smartlabs,https://smartlabsinc.com,2,3,7.99M,Loan,0.68M,"April 9, 2020",,,,
Nirvana Health,https://meetnirvana.com,6,3,36.03M,Series A,24.2M,"September 12, 2024",,,,
XILO,https://xilo.io,7,5,6.1M,Seed VC - III,4M,"January 11, 2023",,,,
Hussle,https://,1,1,80K,Seed,0.08M,"January 27, 2015",,,,
1Fort,https://1fort.com,7,3,2.05M,Pre-Seed,2M,"June 27, 2023",,,,
Umoja Biopharma,https://umoja-biopharma.com,15,2,263M,Series B,210M,"June 15, 2021",,,,
Alida Biosciences,https://alidabio.com,5,5,16.01M,Grant,4M,"June 12, 2024",,,,
Lucky Saint,https://luckysaint.co,7,3,12.9M,Unattributed,0.9M,"January 25, 2024",,,,
FirstBase,https://firstbase.io,7,6,3.67M,Seed VC - IV,0.5M,"December 2, 2022",,,,
Virtuous,https://virtuous.org,7,9,155.26M,Growth Equity,100M,"September 20, 2024",,,,
Percepto,https://percepto.co,19,9,138.6M,Series C,50M,"June 12, 2023",,,,
Clear Street,https://clearstreet.io,12,4,491.71M,Series B - II,270M,"April 11, 2023","$1,700M",April 2022,,
Tigera,https://tigera.io,5,3,53M,Series B - II,30M,"December 12, 2018",,,,
Saturn Cloud,https://saturncloud.io,1,2,10.5M,Seed,6.5M,"August 17, 2021",,,,
Candivore,https://candivore.io,3,3,122M,Series C,100M,"August 14, 2023",,,,
igloohome,https://igloohome.co,22,9,32.47M,Series B - II,12M,"March 17, 2022",,,,
Cosaic,https://cosaic.io,9,8,24.55M,Acquired,,"January 5, 2023",,,,
Omnia Fishing,https://omniafishing.com,14,4,8.55M,Seed VC - II,4M,"March 10, 2022",,,,
Pequity,https://pequity.com,4,2,22.5M,Series A,19M,"June 23, 2021",,,,
RentoMojo,https://rentomojo.com,22,21,86.81M,Series D - III,,"April 19, 2024",,,2023,730.7K
