name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Tickitto,https://tickitto.com,10,4,5.18M,Incubator/Accelerator - II,,"May 13, 2022",,,,
Unisound,https://unisound.com,15,9,339.11M,Series D - II,60M,"June 24, 2021","$1,191.94M",April 2019,2017,15.12M
EGYM,https://egym.com,11,8,609.14M,Series G,200M,"September 24, 2024",$652M,July 2023,2022,130M
Coast,https://coastfashion.com,2,,,Asset Sale,,"August 6, 2019",,,,
ANKA,https://anka.africa,20,9,17.36M,Dead,,"March 20, 2024",,,,
Cyolo,https://cyolo.io,7,4,85.2M,Unattributed VC,,"October 12, 2022",,,,
HYPR,https://hypr.com,15,10,123.15M,Private Equity,30M,"June 5, 2024",,,,
Cogni,https://getcogni.com,18,6,30.1M,Series A,23M,"April 26, 2022",,,,
Boldin,https://boldin.com,13,6,25M,Series A - II,15M,"July 7, 2023",,,,
Matchpoint Therapeutics,https://matchpointtx.com,6,2,100M,Series A,70M,"October 14, 2022",,,,
Celsius,https://celsius.network,7,10,783.8M,Bankrupt/Emergence,,"January 31, 2024",,,,
Inceptio Technology,https://inceptio.ai,23,6,678.68M,Series B - II,188M,"February 28, 2022",,,,
Tracklib,https://tracklib.com,10,5,21.07M,Series A,12.2M,"September 21, 2021",,,,
Opsera,https://opsera.io,8,4,27M,Series A - II,12M,"October 4, 2023",,,,
Fernride,https://fernride.com,15,6,58.39M,Series A - II,19M,"September 20, 2023",,,,
Faception,https://faception.com,2,2,130K,Incubator/Accelerator,,"December 13, 2016",,,,
Dunamu,https://dunamu.com,10,6,72.44M,Corporate Minority - II,,"November 6, 2021",$845.5M,February 2021,,
Descomplica,https://descomplica.com.br,19,9,121.17M,Series E - II,6.4M,"January 12, 2023",,,,
Gradient Health,https://gradienthealth.io,11,3,3.2M,Seed VC,2.75M,"June 20, 2023",,,,
Candex,https://candex.com,19,10,83.37M,Series B,45M,"November 28, 2023",,,,
Boulder,https://boulder.care,14,4,85.16M,Series C,35.01M,"May 21, 2024",,,,
Everlaw,https://everlaw.com,7,7,314.61M,Series D,202M,"November 2, 2021",,,,
Legl,https://legl.com,8,3,25M,Series B,18M,"May 18, 2022",,,,
SkySafe,https://skysafe.io,10,6,45.58M,Series B,30M,"December 17, 2021",,,,
JOW,https://jow.fr,10,4,41.73M,Series A - II,13M,"February 7, 2024",,,,
Valerann,https://valerann.com,12,10,23.72M,Incubator/Accelerator - V,,"September 2, 2024",,,,
PatchRx,https://patchrx.io,7,6,20.15M,Series B,8M,"August 29, 2023",,,,
Labster,https://labster.com,16,7,147M,Series C - II,47M,"April 4, 2022",,,,
Odyssey Therapeutics,https://odysseytx.com,25,4,487M,Series C,101M,"December 5, 2023",,,,
Klue,https://klue.com,13,4,77.62M,Series B,62M,"December 1, 2021",,,,
Vidsy,https://vidsy.co,12,8,22.18M,Series B,16.5M,"October 11, 2021",,,,
Meru,https://usemeru.com,1,1,500K,Convertible Note,0.5M,"January 1, 2023",,,,
Eyebot,https://eyebot.co,8,5,9.52M,Seed VC,6M,"May 9, 2024",,,,
bluShift Aerospace,https://blushiftaerospace.com,6,9,6.1M,Seed VC,1.3M,"June 4, 2024",,,,
FourKites,https://fourkites.com,16,11,242.9M,Secondary Market,,"May 1, 2023","$1,000M",June 2022,,
Raus,https://raus.life,18,5,12.19M,Debt,9.09M,"November 9, 2023",,,,
Autolab,https://autolab.com.co,7,4,14.63M,Unattributed VC - II,5M,"July 21, 2024",,,,
Canela Media,https://canelamedia.com,12,3,45M,Debt,10M,"February 25, 2022",,,,
Prograd,https://prograd.uk,6,2,2.62M,Seed VC,2.5M,"January 9, 2023",,,,
Tamr,https://tamr.com,20,12,69.2M,Unattributed VC - III,,"July 12, 2023",,,,
AiCure,https://aicure.com,18,13,76.34M,Series C - II,4M,"January 23, 2024",,,,
Home From College,https://homefromcollege.com,5,3,5.4M,Seed VC - II,5.4M,"April 3, 2024",,,,
Okendo,https://okendo.io,3,2,31.3M,Series A,26M,"July 14, 2022",,,,
WareIQ,https://wareiq.com,7,3,1.78M,Seed VC - II,,"April 1, 2022",,,,
Monad,https://monad.com,3,3,19M,Series A - II,,"March 1, 2024",,,,
Force,https://forcetherapeutics.com,5,4,25.76M,Unattributed VC,21M,"November 7, 2018",,,,
Unbabel,https://unbabel.com,38,11,110.7M,Biz Plan Competition,,"June 26, 2024",,,,
Spring Health,https://springhealth.com,29,13,467.2M,Series E,100M,"July 31, 2024","$2,500M",April 2023,,
Facilio,https://facilio.com,4,3,42.9M,Series B,35M,"February 22, 2022",,,,
ThinkCyte,https://thinkcyte.com,23,9,78.43M,Loan,3.46M,"August 29, 2024",,,,
Heru,https://heru.app,11,5,15.95M,Seed VC - II,6M,"September 19, 2022",,,,
JustPaid,https://justpaid.io,13,4,4M,Seed VC - II,3.5M,"June 27, 2023",,,,
PONY,https://pony.com,4,3,990K,Corporate Minority,0.99M,"March 14, 2019",$37M,February 2015,,
Blackbird,https://blackbirdcode.com,1,,,Incubator/Accelerator,,"November 6, 2022",,,,
Certn,https://certn.co,22,10,114.48M,Series B - III,,"May 31, 2023",,,,
Klang Games,https://klang-games.com,18,6,77.28M,Series C,41M,"July 6, 2022",,,,
Beni,https://joinbeni.com,2,4,4.97M,Incubator/Accelerator,,"March 1, 2023",,,,
Sakara Life,https://sakara.com,8,3,19.8M,Series B,15M,"March 24, 2021",,,,
100ms,https://100ms.live,5,2,24.5M,Series A,20M,"March 11, 2022",,,,
Plexium,https://plexium.com,14,3,165M,Series B,102M,"February 23, 2022",,,,
Clinikally,https://clinikally.com,20,4,3.6M,Seed VC,2.6M,"September 29, 2023",,,,
Baseten,https://baseten.co,23,4,60M,Series B,40M,"March 4, 2024",,,,
Elite HRV,https://elitehrv.com,8,8,20.96M,Debt,1.06M,"September 27, 2024",,,,
SimplyInsured,https://simplyinsured.com,15,4,8.42M,Series A,5.9M,"June 30, 2015",,,,
Balance Technology,https://balance.tech,4,4,230K,Acquired,,"August 9, 2018",,,,
Cardless,https://cardless.com.sa,1,,,Acquired,,"October 17, 2023",,,,
FundPark,https://fundpark.com,7,9,501.8M,Line of Credit - III,,"June 25, 2024",,,,
XUND,https://xund.ai,13,10,7.97M,Seed VC - II,2.15M,"April 2, 2024",,,,
Rippl Care,https://ripplcare.com,9,3,55M,Series A,23M,"October 2, 2024",,,,
Float,https://hellofloat.com,5,4,3.13M,Seed VC,3M,"February 9, 2017",,,,
Ennabl,https://ennabl.com,4,2,14M,Series A,10M,"July 25, 2023",,,,
Monetizr,https://themonetizr.com,11,6,4.71M,Unattributed VC - II,4.07M,"April 21, 2023",,,,
Clearcover,https://clearcover.com,11,9,515M,Series E - II,55M,"April 11, 2024","$1,000M",April 2021,,
UENI,https://ueni.com,3,5,30.35M,Incubator/Accelerator,,"November 12, 2020",,,,
Framer,https://framer.com,7,4,60M,Series C,27M,"July 27, 2023",,,,
Planned,https://planned.com,6,3,57.7M,Series B,35M,"July 18, 2024",,,,
Web3 Pro,https://web3pro.com,7,,,Seed VC,,"August 28, 2023",,,,
Rise,https://risescience.com,7,4,15.75M,Series A,10M,"June 9, 2021",,,,
Fanbase,https://fanbase.com,1,2,5M,Dead,,"September 13, 2011",,,,
ODAIA Intelligence,https://odaia.ai,29,9,40M,Series B,25M,"May 1, 2023",,,,
Cheetah,https://cheetah.com,2,,,Acquired,,"April 6, 2021",,,,
Legacy,https://,1,,,Incubator/Accelerator,,"October 19, 2017",,,,
Nextory,https://nextory.com,8,7,48.27M,Unattributed VC,9.87M,"June 20, 2022",,,,
Cargofive,https://cargofive.com,8,5,4.79M,Seed VC - II,2.71M,"March 26, 2024",,,,
Steadily,https://steadily.com,10,4,63.2M,Series B,28.5M,"July 5, 2023",,,,
PACES,https://paces.co.jp,1,,,Incubator/Accelerator,,"February 14, 2024",,,,
MDClone,https://mdclone.com,7,5,104M,Series C,63M,"March 1, 2022",,,,
Sonovate,https://sonovate.com,11,12,603.2M,Line of Credit,130.37M,"October 12, 2023",,,,
StoryStream,https://storystream.ai,1,2,4.14M,Series B,1.54M,"August 22, 2017",,,,
DrayNow,https://draynow.com,4,3,13.17M,Corporate Minority,8M,"September 6, 2023",,,,
StudyFree,https://studyfree.com,11,5,4.33M,Seed VC - II,3M,"December 13, 2021",,,,
75F,https://75f.io,13,12,29.38M,Acq - Fin,,"September 16, 2021",,,,
Chaos Labs,https://chaoslabs.xyz,26,5,75M,Series A,55M,"August 15, 2024",,,,
Imvela,https://kingdomsupercultures.com,8,8,30.89M,Grant - IV,0.65M,"August 11, 2023",,,,
Splash,https://splash.org,1,1,1M,Grant,1M,"November 15, 2019",,,,
Miraex,https://miraex.com,6,7,3.38M,Grant,2.92M,"December 31, 2021",,,,
RebelMouse,https://rebelmouse.com,16,3,28.75M,Series B,16M,"April 6, 2015",,,,
Genesis,https://genesis.global,16,8,269.8M,Series C - II,20M,"July 27, 2022",,,,
Daki,https://soudaki.com,3,3,5.08M,Unattributed VC,5.08M,"January 24, 2024",,,,
Marker Learning,https://markerlearning.com,13,2,19M,Series A,15M,"February 9, 2023",$15M,November 2021,,
Andium,https://andium.com,5,4,20.88M,Series A,15M,"April 8, 2021",,,,
Theya,https://theya.us,1,1,500K,Convertible Note,0.5M,"January 1, 2023",,,,
Axtria,https://axtria.com,9,7,206.32M,Series E,150M,"May 13, 2021",,,2016,50M
Skyroot Aerospace,https://skyroot.in,16,5,95.5M,Series B - II,27.5M,"October 30, 2023",,,,
SwiftComply,https://swiftcomply.com,4,4,4.02M,Series A - II,3M,"January 24, 2021",,,,
Labelbox,https://labelbox.com,12,7,188.9M,Series D,110M,"January 6, 2022",,,,
Smart Access,https://smartaccess.io,10,,,Incubator/Accelerator - II,,"March 3, 2022",,,,
Pathalys Pharma,https://pathalys.com,12,4,255M,Series B,105M,"August 20, 2024",,,,
Rebelstork,https://rebelstork.com,7,3,24.06M,Series A - II,18M,"September 19, 2024",,,,
Planys Technologies,https://planystech.com,19,5,8.91M,Unattributed VC,5M,"April 3, 2024",,,,
CoinScan,https://coinscan.com,5,1,6.3M,Seed,6.3M,"May 15, 2023",,,,
Influ2,https://influ2.com,6,3,12.88M,Series A,8.81M,"May 25, 2021",,,,
Moment Energy,https://momentenergy.com,13,10,3.16M,Incubator/Accelerator - VI,,"October 20, 2022",,,,
Zen Educate,https://zeneducate.com,13,7,69.35M,Series B,37M,"May 20, 2024",,,,
Goldcast,https://goldcast.io,14,2,38M,Series A,28M,"August 25, 2022",,,,
Martie,https://martie.com,2,2,10M,Seed VC - II,7M,"December 12, 2023",,,,
Exclusible,https://exclusible.com,8,3,7.6M,Seed VC - II,5M,"October 25, 2022",,,,
Sensible Weather,https://sensibleweather.com,12,6,22M,Series A - III,,"September 25, 2023",,,,
PTO Exchange,https://ptoexchange.com,7,2,8.4M,Seed - II,5.4M,"March 3, 2022",,,,
Kyruus Health,https://kyruushealth.com,16,12,194.19M,Series E,35.1M,"September 30, 2022",$126.99M,October 2018,,
Atato,https://atato.com,14,3,7M,Series A,6M,"June 3, 2022",,,,
Ondo,https://ondo.finance,18,3,24M,Series A,20M,"April 27, 2022",,,,
Vyriad,https://vyriad.com,6,3,53.88M,Series B - II,29.5M,"May 18, 2022",,,,
SteadyMD,https://steadymd.com,16,8,33.97M,Biz Plan Competition,,"March 20, 2024",,,,
Anytype,https://anytype.io,9,3,13.52M,Seed VC,13.4M,"August 23, 2023",,,,
Apiiro,https://apiiro.com,3,2,135M,Series B,100M,"November 3, 2022",,,,
Instabase,https://instabase.com,12,8,180.94M,Unattributed VC,,"March 5, 2024","$2,000M",June 2023,,
Freenome,https://freenome.com,52,12,1.353B,Series F,254M,"February 15, 2024",,,,
CyCognito,https://cycognito.com,14,6,153M,Incubator/Accelerator,,"July 14, 2022",$800M,December 2021,,
Flux Marine,https://fluxmarine.com,5,3,15.76M,Series A,15.5M,"March 30, 2022",,,,
Coinrule,https://coinrule.com,18,4,3.04M,Seed VC,2.2M,"September 27, 2021",,,,
WealthKernel,https://wealthkernel.com,7,5,20.54M,Series A - III,7.63M,"January 24, 2024",,,,
Code Biotherapeutics,https://codebiotx.com,10,2,85M,Series A,75M,"June 7, 2022",,,,
Onfly,https://,,1,10.2M,Unattributed,10.2M,"May 24, 2023",,,,
Prediko,https://prediko.io,7,2,5.12M,Seed VC,5M,"September 14, 2022",,,,
Luminous,https://luminous.com,19,4,114M,Series A,105M,"March 3, 2022",,,,
Boundless,https://boundlesshq.com,4,2,3.86M,Seed VC - II,3M,"June 29, 2021",,,,
CloudFret,https://cloudfret.com,8,6,3.49M,Seed - II,2.1M,"November 10, 2023",,,,
Railz,https://railz.ai,13,7,15M,Incubator/Accelerator - V,,"January 13, 2023",,,,
InfinyOn,https://infinyon.com,4,1,5M,Seed VC,5M,"October 3, 2022",,,,
OneLayer,https://onelayer.com,7,2,14.7M,Seed VC - II,6.5M,"September 15, 2022",,,,
YoLa Fresh,https://yolafresh.com,7,3,7M,Seed VC - II,7M,"May 30, 2024",,,,
Emulate,https://emulatebio.com,20,12,227.17M,Series E,82M,"September 7, 2021",,,,
Earli,https://earli.com,14,4,59.5M,Unattributed VC,,"August 19, 2024",,,,
NotedSource,https://notedsource.io,5,2,2.12M,Seed VC,2M,"December 8, 2022",,,,
Monograph,https://monograph.com,7,3,29.3M,Series B,20M,"November 15, 2021",,,,
WorkMotion,https://workmotion.com,13,4,76.58M,Series B,50M,"June 23, 2022",,,,
Hologram,https://hologram.io,15,6,79.78M,Series B - II,6.8M,"November 30, 2021",,,,
DuploCloud,https://duplocloud.com,4,2,47M,Series B,32M,"November 29, 2023",$75M,February 2022,,
Transreport,https://transreport.co.uk,9,7,15.77M,Series A,12M,"January 4, 2024",,,,
Connected Robotics,https://connected-robotics.com,21,9,21.23M,Series B,12.49M,"February 28, 2023",,,,
AXIO,https://axioinc.com,1,1,20K,Seed,0.02M,"January 21, 2012",,,,
Silvr,https://silvr.co,18,4,225.11M,Line of Credit,72.94M,"July 5, 2023",,,,
Payabli,https://payabli.com,6,3,32M,Series A,20M,"June 25, 2024",,,,
Symbrosia,https://symbrosia.co,9,5,8.07M,Incubator/Accelerator,,"September 23, 2024",,,,
Promethium,https://promethium.ai,4,4,34.5M,Series A,26M,"February 8, 2022",,,,
Relativity6,https://relativity6.com,17,17,7.99M,Convertible Note - IV,1.5M,"September 26, 2023",,,,
Delix Therapeutics,https://delixtherapeutics.com,21,6,111.14M,Grant - II,0.82M,"June 4, 2024",,,,
Immusoft,https://immusoft.com,15,13,56.91M,Unattributed VC - II,4.58M,"June 11, 2024",,,,
Fairplay,https://getfairplay.com,12,5,143.6M,Series A - II,8.6M,"April 24, 2023",,,,
Alentis Therapeutics,https://alentis.ch,13,6,184.26M,Series C,105M,"April 13, 2023",,,,
Glints,https://glints.com,24,8,82.17M,Series D,50M,"August 29, 2022",,,,
ImpriMed,https://imprimedicine.com,19,5,34.78M,Series A,23.08M,"November 6, 2023",,,,
VIAVIA,https://viavia.live,5,2,9.15M,Seed VC,8M,"August 25, 2022",,,,
Tandem PV,https://tandempv.com,10,9,21.77M,Grant - IV,4.7M,"June 4, 2024",,,,
Greeneye Technology,https://greeneye.ag,18,10,50.02M,Series B,20M,"April 17, 2024",,,,
MarketForce,https://marketforceagency.com,1,,,Acquired,,"February 1, 2021",,,,
YBVR,https://ybvr.com,11,9,1.92M,Grant,0.26M,"September 1, 2022",,,,
Toka,https://tokagroup.com,6,2,39.5M,Series B,27M,"October 27, 2020",,,,
Gigs,https://getgigs.co,2,1,2.7M,Pre-Seed,2.7M,"May 2, 2023",,,,
CoreBone,https://core-bone.com,2,2,3.7M,Unattributed VC,3.7M,"October 4, 2021",,,,
Demodesk,https://demodesk.com,11,4,10.45M,Series A,8M,"September 3, 2020",,,,
Interplay Learning,https://interplaylearning.com,16,7,47.1M,Unattributed,20M,"September 19, 2024",,,,
CytoAgents,https://cytoagents.com,8,10,19.3M,Grant - IV,2M,"September 25, 2024",,,,
Optivolt,https://optivolt.com,7,3,8.42M,Seed VC,8.2M,"May 17, 2022",,,,
BirdEye,https://birdeye.com,11,4,93M,Series C,60M,"March 10, 2022",,,,
Genially,https://genial.ly,13,5,24.94M,Series B,20M,"September 22, 2021",,,,
Rupa Health,https://rupahealth.com,12,8,48.94M,Acquired,,"October 10, 2024",,,,
HypnoVR,https://hypnovr.io,11,3,6.02M,Series A,5.06M,"December 7, 2021",,,,
Timeshifter,https://timeshifter.com,4,6,3.45M,Incubator/Accelerator - IV,,"May 5, 2021",,,,
Grin,https://grin.co,16,6,143.37M,Series B,110M,"October 13, 2021",,,,
Airstack,https://airstack.xyz,34,4,21.32M,Seed VC,11.32M,"May 17, 2024",,,,
Anonos,https://anonos.com,2,4,83.6M,Debt - II,50M,"October 19, 2022",,,,
TaKaDu,https://takadu.com,5,4,15.5M,Series A - II,6M,"October 16, 2013",,,,
Distyl AI,https://distyl.ai,5,2,27M,Series A,20M,"September 24, 2024",,,,
Checkly,https://checklyhq.com,8,3,32.25M,Series B,20M,"July 31, 2024",,,,
Atlantic Quantum,https://atlantic-quantum.com,8,4,9.2M,Grant - II,,"May 11, 2024",,,,
Allure Security,https://alluresecurity.com,11,6,24.01M,Series A,10M,"April 3, 2024",,,,
True Anomaly,https://trueanomaly.space,13,6,126.32M,Biz Plan Competition,1.7M,"January 17, 2024",,,,
Climb Credit,https://climbcredit.com,16,9,463.58M,Convertible Note,,"February 10, 2023",,,2020,7.4M
Luna,https://luna-lang.org,5,2,2.5M,Seed VC,2.5M,"December 16, 2019",,,,
Sundae,https://sundae.com,31,7,136.55M,Angel,0.17M,"June 9, 2022",,,,
Fiit,https://fiit.tv,5,4,12.96M,Series A,6.5M,"March 1, 2019",,,,
Yalla Fel Sekka,https://yallafelsekka.com,2,2,9.5M,Series A,7M,"February 2, 2022",,,,
Infinia,https://infiniacorp.com,13,13,132.1M,Acquired,,"November 22, 2013",,,,
Silk,https://silk.co,6,4,3.67M,Acquired,,"August 10, 2016",,,,
Gimo,https://gimo.vn,12,7,36.73M,Series A - II,17.1M,"July 24, 2023",,,,
Our Next Energy,https://one.ai,16,8,610M,Unattributed,,"September 6, 2023","$1,200M",February 2023,,
Formlabs,https://formlabs.com,25,12,261.64M,Series F,0.39M,"July 23, 2024","$2,000M",May 2021,,
OpenPhone,https://openphone.com,11,5,56.12M,Series B,40M,"April 7, 2022",,,,
Paerpay,https://paerpay.com,10,5,3.97M,Debt,0.7M,"June 13, 2024",,,,
Aleph Alpha,https://aleph-alpha.com,15,4,642.23M,Series B,500M,"November 6, 2023",$490.08M,June 2023,,
AtoB,https://atob.com,9,7,305M,Series C,,"September 19, 2024",$800M,August 2022,,
Surfly,https://surfly.com,8,8,3.85M,Incubator/Accelerator - IV,,"July 27, 2022",,,,
Incorta,https://incorta.com,11,10,193.03M,Series D,,"June 23, 2021",,,,
NEWTWEN,https://newtwen.com,7,3,7.52M,Grant,0.01M,"July 31, 2023",,,,
Hokodo,https://hokodo.co,13,7,165.19M,Line of Credit - II,108.28M,"April 8, 2024",$175M,June 2022,,
Novelship,https://novelship.com,7,5,21.55M,Series B,9.5M,"September 14, 2023",,,,
Trezy,https://trezy.io,4,2,4.22M,Seed VC,3.2M,"June 15, 2023",,,,
Ganaz,https://ganaz.com,13,5,10.41M,Series A,7M,"June 3, 2021",,,,
Airtm,https://airtm.com,10,7,25.8M,Series B,,"February 2, 2023",$27.5M,August 2018,,
enspired,https://enspired-trading.com,11,2,35.44M,Series B,26.96M,"May 14, 2024",,,,
ElasticRun,https://elastic.run,9,8,432.11M,Series E,300M,"February 7, 2022",$400M,April 2021,,
Tattle,https://tattleapp.com,3,3,11.1M,Convertible Note,4M,"May 15, 2024",,,,
Lendable,https://lendable.io,6,6,151.66M,Unattributed,4.5M,"December 28, 2020",,,2019,41.58M
Jumbotail,https://jumbotail.com,24,11,180.38M,Series C - II,18.22M,"March 18, 2024",,,2023,98.8M
Pubinno,https://pubinno.com,22,10,1.99M,Incubator/Accelerator,,"July 12, 2024",$20M,May 2018,,
Vint,https://joinvint.com,8,1,1.8M,Seed VC,1.8M,"January 27, 2014",,,,
Cor,https://knowyourcor.com,,1,1.03M,Seed,1.03M,"November 14, 2014",,,,
Picap,https://picap.app,7,3,2.5M,Seed VC - II,,"February 12, 2020",,,,
ArmorCode,https://armorcode.com,13,5,67.5M,Series B,40M,"December 4, 2023",,,,
YourChoice Therapeutics,https://yourchoicetx.com,11,5,15.65M,Unattributed,0.5M,"March 27, 2024",,,,
Instawork,https://instawork.com,19,7,149.62M,Series D,60M,"May 18, 2023",,,,
Malou,https://malou.io,5,2,10.92M,Seed VC,10.92M,"November 20, 2023",,,,
Ome,https://omekitchen.com,12,3,270K,Unattributed VC,,"March 3, 2022",,,,
Troy Medicare,https://troymedicare.com,2,5,28.39M,Unattributed,5.3M,"February 28, 2022",,,,
Holisto,https://holisto.com,10,5,19.28M,Corporate Minority,10M,"July 30, 2024",,,,
Mitiga Solutions,https://mitigasolutions.com,17,12,24.49M,Series A - III,8.69M,"June 4, 2024",,,,
Increff,https://increff.com,12,5,17M,Series B,12M,"February 21, 2022",,,,
Flip,https://justflip.com,2,2,300K,Unattributed,0.3M,"June 21, 2017",,,,
PropheSee,https://prophesee.in,2,2,500K,Dead,,"January 21, 2017",,,,
Caribou,https://usecaribou.com,1,,,Other Investors,,,,,,
Pearl Health,https://pearlhealth.com,6,4,93.5M,Corporate Minority,,"September 12, 2023",,,,
Knowde,https://knowde.com,17,5,146.17M,Series C,60M,"August 1, 2024",,,,
Eleven Therapeutics,https://eleventx.com,6,3,22M,Seed VC,18M,"August 2, 2022",,,,
Omorpho,https://omorpho.fit,7,3,14M,Seed VC - II,3M,"November 14, 2023",$26M,May 2022,,
ReCharge,https://recharge.id,3,,,Seed VC - II,,"April 22, 2020",,,,
Funnel,https://funnel.io,9,4,131M,Series C,66M,"October 13, 2021",$105.03M,January 2020,2019,7.35M
CompScience,https://compscience.com,9,4,18.75M,Series A,10M,"July 27, 2023",,,,
liwwa,https://liwwa.com,17,11,39.09M,Loan,5M,"May 15, 2024",,,,
SmartRecruiters,https://smartrecruiters.com,7,6,214.55M,Series E,110M,"July 20, 2021",,,,
Hedvig,https://hedvig.io,7,5,52M,Acquired,,"September 4, 2019",,,,
Zuoyebang,https://zuoyebang.com,17,8,3.435B,Series E - II,"1,600M","December 28, 2020","$3,000M",July 2018,,
Vizit,https://,1,1,100K,Angel,0.1M,"December 15, 2011",,,,
Phaidra,https://phaidra.ai,13,4,38.5M,Series B,12M,"July 2, 2024",,,,
Onepilot,https://onepilot.co,8,2,18.87M,Series A,15.89M,"June 22, 2022",,,,
Apptronik,https://apptronik.com,11,11,20.04M,Corporate Minority,,"February 7, 2023",,,,
Kooltra,https://kooltra.com,4,2,6.86M,Series A,5.07M,"September 21, 2018",,,,
Humi,https://humi.ca,15,7,45.56M,Series B,24.13M,"November 24, 2021",,,,
Neighbor,https://hineighbor.com,1,2,3.88M,Series A,3.25M,"February 28, 2022",,,,
Helsing,https://helsing.ai,11,4,829.63M,Series C,487.78M,"July 11, 2024","$1,817M",September 2023,,
Evenflow,https://evenflowbrands.com,19,3,5M,Seed VC - III,5M,"May 5, 2022",,,,
Ayla Networks,https://aylanetworks.com,16,7,140.4M,Series E,20M,"December 6, 2021",,,,
Astrus,https://astrus.ai,7,2,2.68M,Seed VC - II,2.4M,"September 15, 2023",,,,
Sportlogiq,https://sportlogiq.com,8,4,27.2M,Series B,20M,"December 21, 2018",,,,
Alma,https://alma.app,1,,,Dead,,"September 30, 2020",,,,
